j,job_id,submit_time,execute_time,timestamp,queue_wait_s,turnaround_s,memory_usage_mb,N,pi_est,error
61,157,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,61000,3.148327868852459,0.00673521526266585
62,71,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,62000,3.148,0.0064073464102070155
63,65,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,63000,3.1484444444444444,0.006851790854651263
64,70,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,64000,3.14875,0.007157346410207044
65,154,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,65000,3.147323076923077,0.005730423333283774
66,140,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,66000,3.1471515151515153,0.005558861561722139
67,168,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,67000,3.147462686567164,0.005870032977370876
68,66,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,68000,3.147764705882353,0.006172052292559904
69,72,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,69000,3.1472463768115944,0.005653723221801243
70,67,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,70000,3.148342857142857,0.006750203553063994
71,98,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,71000,3.148338028169014,0.006745374579220975
72,182,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,72000,3.148222222222222,0.006629568632428917
73,169,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,73000,3.149315068493151,0.007722414903357677
74,141,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,74000,3.1496216216216215,0.008028968031828398
75,155,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,75000,3.1495466666666667,0.0079540130768736
76,186,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,76000,3.150421052631579,0.008828399041785673
77,88,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,77000,3.1502857142857144,0.00869306069592124
78,77,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,78000,3.1505128205128203,0.008920166923027217
79,76,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,79000,3.151594936708861,0.010002283119067812
80,89,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,80000,3.1511,0.009507346410206896
81,193,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,81000,3.1506172839506172,0.009024630360824126
82,144,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,82000,3.1508780487804877,0.0092853951906946
83,146,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,83000,3.1506506024096383,0.00905794881984523
84,191,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,84000,3.1504761904761907,0.008883536886397536
85,74,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,85000,3.1512,0.009607346410206663
86,75,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,86000,3.15153488372093,0.009942230131136931
87,190,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,87000,3.151126436781609,0.009533783191816081
88,153,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,88000,3.151136363636364,0.00954371004657073
89,147,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,89000,3.1514606741573035,0.00986802056751035
90,134,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,90000,3.1507111111111112,0.009118457521318124
91,108,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,91000,3.1503736263736264,0.008780972783833274
92,135,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,92000,3.1507391304347827,0.009146476844989593
93,39,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,93000,3.150021505376344,0.00842885178655095
94,136,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,94000,3.150723404255319,0.009130750665526044
95,132,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,95000,3.1514105263157894,0.009817872725996324
96,126,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,96000,3.15125,0.00965734641020699
97,127,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,97000,3.150639175257732,0.009046521667938734
98,119,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,98000,3.15,0.008407346410206795
99,125,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,99000,3.1504242424242426,0.008831588834449455
100,130,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,100000,3.15016,0.008567346410206955
101,124,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,101000,3.149821782178218,0.008229128588424839
102,118,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,102000,3.150235294117647,0.008642640527853906
103,128,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,103000,3.1507961165048544,0.009203462915061245
104,103,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,104000,3.1508461538461536,0.009253500256360514
105,106,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,105000,3.1502857142857144,0.00869306069592124
106,104,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,106000,3.150188679245283,0.008596025655490003
107,139,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,107000,3.149719626168224,0.00812697257843098
108,176,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,108000,3.15,0.008407346410206795
109,93,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,109000,3.149284403669725,0.007691750079931836
110,87,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,110000,3.1493454545454544,0.007752800955661332
111,78,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,111000,3.1494414414414416,0.007848787851648442
112,79,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,112000,3.149607142857143,0.008014489267349933
113,86,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,113000,3.149592920353982,0.008000266764188968
114,92,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,114000,3.1494736842105264,0.00788103062073331
115,161,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,115000,3.1487652173913045,0.0071725638015114335
116,203,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,116000,3.1489310344827586,0.007338380892965457
117,84,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,117000,3.1485811965811967,0.006988542991403612
118,90,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,118000,3.1477627118644067,0.006170058274613588
119,91,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,119000,3.1483025210084032,0.006709867418610127
120,85,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,120000,3.1479666666666666,0.006374013076873464
121,148,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,121000,3.147867768595041,0.006275115005248022
122,160,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,122000,3.1478032786885244,0.0062106250987312706
123,174,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,123000,3.1478373983739836,0.006244744784190459
124,158,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,124000,3.148064516129032,0.006471862539239037
125,81,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,125000,3.147456,0.0058633464102069155
126,95,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,126000,3.1477142857142857,0.006121632124492571
127,56,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,127000,3.147527559055118,0.0059349054653248245
128,94,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,128000,3.14740625,0.005813596410206845
129,80,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,129000,3.1470697674418604,0.0054771138520672835
130,171,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,130000,3.1471692307692307,0.005576577179437603
131,159,2026-07-16 14:17:38,2026-07-16 14:19:07,2026-07-16 14:19:07,89.0,89.0,0,131000,3.147358778625954,0.005766125036160918
132,96,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,132000,3.147818181818182,0.0062255282283887325
133,82,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,133000,3.1480902255639096,0.0064975719741164895
134,69,2026-07-16 14:17:38,2026-07-16 14:19:05,2026-07-16 14:19:07,87.0,89.0,0,134000,3.148208955223881,0.006616301634087662
135,40,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,135000,3.148562962962963,0.00697030937316967
136,83,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,136000,3.1478823529411764,0.006289699351383238
137,97,2026-07-16 14:17:38,2026-07-16 14:19:06,2026-07-16 14:19:07,88.0,89.0,0,137000,3.147883211678832,0.006290558089038889
